agent_name,branch,iata_no,dipc,institution,inv_type,status
THOMAS COOK VOYAGES,PARSM,20232671,IP,BSP,P,A
PLEIN CIEL,PARSM,20223733,IP,BSP,P,A
HABIB,PARSM,20239822,IP,BSP,P,A
ITOUCH GREAT INTL TRAVEL,NYCSM,22530594,IP,ARC,P,A
REISEBURO WILHELMPASSAGE,FRASM,23207026,IP,BSP,P,A
SSB REISEN GMBH &,FRASM,23219092,IP,BSP,P,A
CWL CWL,PARSM,20245315,IP,BSP,P,A
GENOVESE WORLD TRAVEL,NYCSM,22666615,IP,ARC,P,A
AMTLICHES BAYERISCHES REISEBURO,FRASM,23205932,IP,BSP,P,A
VOGTLAND REISEN GMBH,FRASM,23211204,IP,BSP,P,A
REISEBURO HEIDMARIE TECHET,FRASM,23211156,IP,BSP,P,A
TRAVEL CONSULTANTS INTL,NYCSM,22561173,IP,ARC,P,A
FLBA REISEBUERO,FRASM,23218086,IP,BSP,P,A
PANALPINA TRANSPORTS INTERNATIONAUX,PARSM,20470573314,IC,CASS,G,A
FREISEBUERO HARTMANN COLOGNE,FRASM,23213470,IP,BSP,P,A
SMITHSONIAN ASTROPHYSICAL,NYCSM,22592544,IP,ARC,P,A
PRESIDENTIAL TRAVEL,NYCSM,22974652,IP,ARC,P,A
AIRSERVICE REISEBURO GMBH,FRASM,23205081,IP,BSP,P,A
WELTWEIT FLUG SIEGEN,FRASM,23208080,IP,BSP,P,A
FAR EAST TVL SERVICE,NYCSM,22647811,IP,ARC,P,A
FRESH POND TVL SUDBURY,NYCSM,22660363,IP,ARC,P,A
CENTRAL MASSACHUSETTS TVL,NYCSM,22590201,IP,ARC,P,A
FURST TOURISTIK SERVICE GMBH,FRASM,23218694,IP,BSP,P,A
AMERICAN EXPRESS INTERNATIONAL CO SCHWARZ PHA,FRASM,23210493,IP,BSP,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22755176,IP,ARC,P,A
FORBES TRAVEL SVC,NYCSM,22970555,IP,ARC,P,A
CARLSON WAGONLIT,NYCSM,22522275,IP,ARC,P,A
SCHROEDER REPPELL,FRASM,23214811,IP,BSP,P,A
ACADEMIC TRAVEL,NYCSM,22526361,IP,ARC,P,A
NOVA TRAVEL,NYCSM,22949441,IP,ARC,P,A
COLPITTS TRAVEL CENTER,NYCSM,22602823,IP,ARC,P,A
NASHOBA VLLY TVL AGCY,NYCSM,22778265,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22538563,IP,ARC,P,A
UNIVERSAL TVL SVC,NYCSM,22908104,IP,ARC,P,A
STUTE VERKEHRS GMBH,FRASM,23210095,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22609624,IP,ARC,P,A
REISEBUERO JADE WILHELMSH AVEN,FRASM,23218016,IP,BSP,P,A
ARRINGTON TVL CENTER,NYCSM,22970135,IP,ARC,P,A
REISEBURO STOTER GMBH,FRASM,23210445,IP,BSP,P,A
GIBB TRAVEL,NYCSM,22668332,IP,ARC,P,A
KATLIN TRAVEL GROUP,NYCSM,22505630,IP,ARC,P,A
ATLAS REISEN GMBH,FRASM,23223686,IP,BSP,P,A
TRI TRAVEL,NYCSM,22825320,IP,ARC,P,A
TUTTLE TRAVEL,NYCSM,22973495,IP,ARC,P,A
THE TRAVEL SOURCE,NYCSM,22505980,IP,ARC,P,A
SPINALE TRAVEL,NYCSM,22541304,IP,ARC,P,A
ABR REISEBUERO SENDLINGER MUCHEN,FRASM,23216432,IP,BSP,P,A
W.T.A.,PARSM,20229565,IP,BSP,P,A
REISEBURO BEROLINA,FRASM,23207144,IP,BSP,P,A
CAMPUS TRAVEL SERVICE,NYCSM,20936101,IP,ARC,P,A
TRC TOP REISECLUB GMBH,FRASM,23221310,IP,BSP,P,A
IVR REISEBURO,FRASM,23201393,IP,BSP,P,A
AUSTRALIAN TOURCONSULT GMBH,FRASM,23209535,IP,BSP,P,A
GARBERS TVL SVC,NYCSM,22526556,IP,ARC,P,A
CRIMSON TRAVEL SERVICE,NYCSM,22553694,IP,ARC,P,A
FIRST REISEBUERO BERATEN & REISEN,FRASM,23206853,IP,BSP,P,A
SCITUATE HARBOR TVL,NYCSM,22733734,IP,ARC,P,A
MICHEL,PARSM,20228644,IP,BSP,P,A
HEWINS CWT,NYCSM,20519892,IP,ARC,P,A
OUEST,PARSM,20210606,IP,BSP,P,A
GARBER TRAVEL,NYCSM,22597794,IP,ARC,P,A
CARLSON WAGONLIT TRAVEL,NYCSM,22599021,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,20978101,IP,ARC,P,A
PATHWAYS TRAVEL,NYCSM,22544620,IP,ARC,P,A
LOTUS TVL SVCS,NYCSM,22786562,IP,ARC,P,A
COUNTRY VILLAGE TVL,NYCSM,22940890,IP,ARC,P,A
THOMAS COOK TRAVEL,NYCSM,22738085,IP,ARC,P,A
ALLEN TVL & TR,NYCSM,22679322,IP,ARC,P,A
TRAVEL HOUSE TOURS,NYCSM,22885752,IP,ARC,P,A
ANDERES REISEN GMBH ROLAND KRIESCHE,FRASM,23221063,IP,BSP,P,A
CWL ACTA,PARSM,20203466,IP,BSP,P,A
MONTS JURA,PARSM,20253376,IP,BSP,P,A
AAA MERRIMACK VALLEY,NYCSM,22599441,IP,ARC,P,A
AMEX TCOOK WESTBORD,NYCSM,22977894,IP,ARC,P,A
WOLFE TRAVEL,NYCSM,22940094,IP,ARC,P,A
CWL PROTRAVEL,PARSM,20245606,IP,BSP,P,A
WASTEELS,PARSM,20215834,IP,BSP,P,A
RETTMEYER UND HESSENMUELLER,FRASM,23215253,IP,BSP,P,A
ELTIV TRAVEL AT XYPLEX,NYCSM,22582766,IP,ARC,P,A
THE ESCAPE ARTIST,NYCSM,22522102,IP,ARC,P,A
NEUSTADT DE,FRASM,23216756,IP,BSP,P,A
REISEBURO KRONSHAGEN GMBH,FRASM,23219125,IP,BSP,P,A
HAPAG LLOYD REISEBURO GMBH,FRASM,23224876,IP,BSP,P,A
LIBERTY TRAVEL,NYCSM,22548761,IP,ARC,P,A
GARBERS TRAVEL SVC,NYCSM,22973333,IP,ARC,P,A
MERICAN REISEN GESCHAFTSLEITUNG,FRASM,23222150,IP,BSP,P,A
CARLSON WAGONLIT TRAVEL,NYCSM,22547184,IP,ARC,P,A
REISEBURO B R U N E GMBH,FRASM,23206750,IP,BSP,P,A
TITANIC REISEN GMBH,FRASM,23219733,IP,BSP,P,A
WASTEELS,PARSM,20291132,IP,BSP,P,A
CAP CHINE,PARSM,20252562,IP,BSP,P,A
CHARLOTTE,PARSM,20238422,IP,BSP,P,A
QST STREAM INTERN,NYCSM,22604492,IP,ARC,P,A
REISEBUERO IM FLUGHAFEN,FRASM,23209351,IP,BSP,P,A
KFBREISE GMBH,FRASM,23216723,IP,BSP,P,A
REISEBURO AUTO FISCHER GMBH & KG,FRASM,23209034,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22811983,IP,ARC,P,A
MISR TRAVEL,FRASM,23223944,IP,BSP,P,A
PEPP TRAVEL,NYCSM,22970253,IP,ARC,P,A
K TRAVEL REISEBURO GMBH,FRASM,23206256,IP,BSP,P,A
REISEBURO EHRET,FRASM,23207063,IP,BSP,P,A
THOMAS COOK TRAVEL,NYCSM,22630473,IP,ARC,P,A
E.LECLERC VOYAGES CDA,PARSM,20226780,IP,BSP,P,A
CWL FERMEE,PARSM,20236204,IP,BSP,P,A
DUXBURY TVL SVC,NYCSM,22633785,IP,ARC,P,A
LESAGE,PARSM,20228655,IP,BSP,P,A
ROSENBLUTH TVL AGENCY,NYCSM,22978723,IP,ARC,P,A
REISEBURO DIX OMNIBUSBETRIEB GMBH,FRASM,23202351,IP,BSP,P,A
CWL,PARSM,20207806,IP,BSP,P,A
FRNCISCO OLIVEIRA TVL AY,NYCSM,22789465,IP,ARC,P,A
TRAVEL EMPORIUM,NYCSM,22545073,IP,ARC,P,A
AMERICAN INTL TRAVEL,NYCSM,22695061,IP,ARC,P,A
REISEBUERO STICHT,FRASM,23220536,IP,BSP,P,A
REISEBURO HELIOS GMBH,FRASM,23214273,IP,BSP,P,A
GOGO TOURS,NYCSM,22672694,IP,ARC,P,A
REISEBURO ROMINGER GMBH,FRASM,23200096,IP,BSP,P,A
ATLAS REISEN GMBH,FRASM,23204355,IP,BSP,P,A
AMERICAN INTERNATIONAL,NYCSM,20859090,IP,ARC,P,A
ATLAS REISEN GMBH,FRASM,23217832,IP,BSP,P,A
GARBERS TRAVEL SERVICE IN,NYCSM,22503283,IP,ARC,P,A
AMERICAN EXPRESS TRAVEL,NYCSM,22590805,IP,ARC,P,A
QDAT,NYCSM,22970673,IP,ARC,P,A
TOURAINE TVL SVC,NYCSM,22877046,IP,ARC,P,A
ALL ABOUT TRAVEL,NYCSM,20525050,IP,ARC,P,A
CITY AIR TERMINAL,FRASM,23210924,IP,BSP,P,A
VISTA TRAVEL,NYCSM,22975131,IP,ARC,P,A
CANUSA TOURISTIK GESCHAFTSLEITUNG,FRASM,23222345,IP,BSP,P,A
BOBY EXPRESS INTL,NYCSM,22971616,IP,ARC,P,A
MENZELL REISEBUERO,FRASM,23208931,IP,BSP,P,A
NEJAIMES VIP TRAVEL,NYCSM,22756274,IP,ARC,P,A
HILA REISEN GMBH,FRASM,23224224,IP,BSP,P,A
IHR REISEBURO GMBH,FRASM,23207726,IP,BSP,P,A
BURGELER REISEBURO I. HS. VOLKSBANK,FRASM,23223082,IP,BSP,P,A
WELLESLEY CROSSING TVL,NYCSM,22875156,IP,ARC,P,A
